dataset,aggregate_type,emd,delta
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.6166353450989173
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.6166353450989173
Hospital,AggregateType.SUM,0.8,0.6166353450989173
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.6166353450989173
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.6166353450989173
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.6166353450989173
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.6166353450989173
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.6166353450989173
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.SUM,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.0015884265703936873
Hospital,AggregateType.MIN,0.8,0.3450192866699701
Hospital,AggregateType.MIN,0.8,0.07183185389020458
Hospital,AggregateType.MIN,0.8,0.177973831920971
Hospital,AggregateType.MIN,0.8,0.04638976643149593
Hospital,AggregateType.MIN,0.8,0.032695516670416716
Hospital,AggregateType.MIN,0.8,0.008774870401533805
Hospital,AggregateType.MIN,0.8,0.03345531648290675
Hospital,AggregateType.MIN,0.8,0.00016790522338083676
Hospital,AggregateType.MIN,0.8,0.0031768451252927607
Hospital,AggregateType.MIN,0.8,0.0010739665147963704
Hospital,AggregateType.MIN,0.8,0.0004923419660760756
Hospital,AggregateType.MIN,0.8,0.0006577310217531461
Hospital,AggregateType.MIN,0.8,0.0003860288657823303
Hospital,AggregateType.MIN,0.8,0.005349821388737477
Hospital,AggregateType.MIN,0.8,0.0005601851041597226
Hospital,AggregateType.MIN,0.8,0.002079643942821773
Hospital,AggregateType.MIN,0.8,0.0101342705239104
Hospital,AggregateType.MIN,0.8,0.0004766861789062499
Hospital,AggregateType.MIN,0.8,0.012734848521287773
Hospital,AggregateType.MIN,0.8,0.0378533700367677
Hospital,AggregateType.MIN,0.8,0.001993232378479523
Hospital,AggregateType.MIN,0.8,0.004612517555070551
Hospital,AggregateType.MIN,0.8,0.007821121408166187
Hospital,AggregateType.MIN,0.8,0.007821121408166187
Hospital,AggregateType.MIN,0.8,0.005067265371691011
Hospital,AggregateType.MIN,0.8,0.013575728951910376
Hospital,AggregateType.MIN,0.8,0.0048292097171753565
Hospital,AggregateType.MIN,0.8,0.0018886010132551714
Hospital,AggregateType.MIN,0.8,0.0008690309908458354
Hospital,AggregateType.MIN,0.8,0.0005812259778132247
Hospital,AggregateType.MIN,0.8,0.0011078638139715117
Hospital,AggregateType.MIN,0.8,0.0010028677356520377
Hospital,AggregateType.MIN,0.8,0.00137714332377844
Hospital,AggregateType.MIN,0.8,0.005271437190291667
Hospital,AggregateType.MIN,0.8,0.001540807863230973
Hospital,AggregateType.MIN,0.8,0.2353565323384582
Hospital,AggregateType.MIN,0.8,0.4460075059025151
Hospital,AggregateType.MIN,0.8,0.004979597882637636
Hospital,AggregateType.MIN,0.8,0.0007089238630711169
Hospital,AggregateType.MIN,0.8,0.00033413411413151417
Hospital,AggregateType.MIN,0.8,0.07978095329132047
Hospital,AggregateType.MIN,0.8,0.051351778827735485
Hospital,AggregateType.MIN,0.8,0.002640573097816088
Hospital,AggregateType.MIN,0.8,0.01090195959879968
Hospital,AggregateType.MIN,0.8,0.024807248694143257
Hospital,AggregateType.MIN,0.8,0.028210467412379564
Hospital,AggregateType.MIN,0.8,0.006511743629158374
Hospital,AggregateType.MIN,0.8,0.009344635020962465
Hospital,AggregateType.MIN,0.8,0.012513396220006034
Hospital,AggregateType.MIN,0.8,0.05750112778453724
Hospital,AggregateType.MIN,0.8,0.0897029599492841
Hospital,AggregateType.MIN,0.8,0.0011873886194625316
Hospital,AggregateType.MIN,0.8,0.002827331725821622
Hospital,AggregateType.MIN,0.8,0.002390553059343133
Hospital,AggregateType.MIN,0.8,0.0037476795457999893
Hospital,AggregateType.MIN,0.8,0.6166353450989173
Hospital,AggregateType.MIN,0.8,0.3450192866699701
Hospital,AggregateType.MIN,0.8,0.0019316965008359212
Hospital,AggregateType.MIN,0.8,0.6166353450989173
Hospital,AggregateType.MIN,0.8,0.14292623481676284
Hospital,AggregateType.MIN,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.0009387575083975727
Hospital,AggregateType.MIN,0.8,0.005410156549393033
Hospital,AggregateType.MIN,0.8,0.001599016062872227
Hospital,AggregateType.MIN,0.8,0.0016261179826612075
Hospital,AggregateType.MIN,0.8,0.2353565323384582
Hospital,AggregateType.MIN,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.010279035690874736
Hospital,AggregateType.MIN,0.8,0.035085974627263386
Hospital,AggregateType.MIN,0.8,0.0013850960181045733
Hospital,AggregateType.MIN,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.4460075059025151
Hospital,AggregateType.MIN,0.8,0.03425125574951324
Hospital,AggregateType.MIN,0.8,0.4460075059025151
Hospital,AggregateType.MIN,0.8,0.4460075059025151
Hospital,AggregateType.MIN,0.8,0.07978095329132047
Hospital,AggregateType.MIN,0.8,0.0002527868702735902
Hospital,AggregateType.MIN,0.8,0.005349821388737477
Hospital,AggregateType.MIN,0.8,0.002560698465487307
Hospital,AggregateType.MIN,0.8,0.003484527502552566
Hospital,AggregateType.MIN,0.8,0.05750112778453724
Hospital,AggregateType.MIN,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.049583983425326494
Hospital,AggregateType.MIN,0.8,0.02283913367576299
Hospital,AggregateType.MIN,0.8,0.022482393430912226
Hospital,AggregateType.MIN,0.8,0.01081999639972152
Hospital,AggregateType.MIN,0.8,0.0033467681627802315
Hospital,AggregateType.MIN,0.8,0.004597781285274602
Hospital,AggregateType.MIN,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.002485514196204884
Hospital,AggregateType.MIN,0.8,0.0007716436447659526
Hospital,AggregateType.MIN,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.051351778827735485
Hospital,AggregateType.MIN,0.8,0.0006465029122285557
Hospital,AggregateType.MIN,0.8,0.00030869061291509387
Hospital,AggregateType.MIN,0.8,0.00452549012162068
Hospital,AggregateType.MIN,0.8,0.011892957271797748
Hospital,AggregateType.MIN,0.8,0.018687638196176113
Hospital,AggregateType.MIN,0.8,0.019185854502983088
Hospital,AggregateType.MIN,0.8,0.1024334401423118
Hospital,AggregateType.MIN,0.8,0.1024334401423118
Hospital,AggregateType.MIN,0.8,0.035085974627263386
Hospital,AggregateType.MIN,0.8,0.0060721434420735534
Hospital,AggregateType.MIN,0.8,0.04230167274913962
Hospital,AggregateType.MIN,0.8,0.06842224204700542
Hospital,AggregateType.MIN,0.8,0.05750112778453724
Hospital,AggregateType.MIN,0.8,0.020853725300595618
Hospital,AggregateType.MIN,0.8,0.018214639439904288
Hospital,AggregateType.MIN,0.8,0.0020269207215415845
Hospital,AggregateType.MIN,0.8,0.2801299996057702
Hospital,AggregateType.MIN,0.8,0.09564775633860302
Hospital,AggregateType.MIN,0.8,0.04230167274913962
Hospital,AggregateType.MIN,0.8,0.051351778827735485
Hospital,AggregateType.MIN,0.8,0.062488719843121224
Hospital,AggregateType.MIN,0.8,0.0388754165718042
Hospital,AggregateType.MIN,0.8,0.021801328050393486
Hospital,AggregateType.MIN,0.8,0.1024334401423118
Hospital,AggregateType.MIN,0.8,0.0015557994832305377
Hospital,AggregateType.MIN,0.8,0.2027396126664192
Hospital,AggregateType.MIN,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.005049485795953507
Hospital,AggregateType.MIN,0.8,0.07183185389020458
Hospital,AggregateType.MIN,0.8,0.6166353450989173
Hospital,AggregateType.MIN,0.8,0.0378533700367677
Hospital,AggregateType.MIN,0.8,0.15855271844915592
Hospital,AggregateType.MIN,0.8,0.14292623481676284
Hospital,AggregateType.MIN,0.8,0.0007383865682806031
Hospital,AggregateType.MIN,0.8,0.0013589374855938426
Hospital,AggregateType.MIN,0.8,0.009166085215079292
Hospital,AggregateType.MIN,0.8,0.07559841679376682
Hospital,AggregateType.MIN,0.8,0.2027396126664192
Hospital,AggregateType.MIN,0.8,0.021801328050393486
Hospital,AggregateType.MIN,0.8,0.0031559449676534217
Hospital,AggregateType.MIN,0.8,0.177973831920971
Hospital,AggregateType.MIN,0.8,0.05750112778453724
Hospital,AggregateType.MIN,0.8,0.022482393430912226
Hospital,AggregateType.MIN,0.8,0.010581338025431831
Hospital,AggregateType.MIN,0.8,0.3450192866699701
Hospital,AggregateType.MIN,0.8,0.039954155190428525
Hospital,AggregateType.MIN,0.8,0.2801299996057702
Hospital,AggregateType.MIN,0.8,0.0013437113137107703
Hospital,AggregateType.MIN,0.8,0.2353565323384582
Hospital,AggregateType.MIN,0.8,0.3450192866699701
Hospital,AggregateType.MIN,0.8,0.010063406300917488
Hospital,AggregateType.MIN,0.8,0.09564775633860302
Hospital,AggregateType.MIN,0.8,0.06532120518084708
Hospital,AggregateType.MIN,0.8,0.0013891069087576852
Hospital,AggregateType.MIN,0.8,0.0153085452811393
Hospital,AggregateType.MIN,0.8,0.01692915518672294
Hospital,AggregateType.MIN,0.8,0.004718377060134448
Hospital,AggregateType.MIN,0.8,0.2027396126664192
Hospital,AggregateType.MIN,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.062488719843121224
Hospital,AggregateType.MIN,0.8,0.062488719843121224
Hospital,AggregateType.MIN,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.005577909914305427
Hospital,AggregateType.MIN,0.8,0.177973831920971
Hospital,AggregateType.MIN,0.8,0.03345531648290675
Hospital,AggregateType.MIN,0.8,0.0016390824536998496
Hospital,AggregateType.MIN,0.8,0.001620624350463299
Hospital,AggregateType.MIN,0.8,0.0015524428554402833
Hospital,AggregateType.MIN,0.8,0.001464002700881554
Hospital,AggregateType.MIN,0.8,0.0012930052840248658
Hospital,AggregateType.MIN,0.8,0.0011942863061476618
Hospital,AggregateType.MIN,0.8,0.0025291961590891074
Hospital,AggregateType.MIN,0.8,0.0027255911353360842
Hospital,AggregateType.MIN,0.8,0.001422050111707593
Hospital,AggregateType.MIN,0.8,0.004183451417539014
Hospital,AggregateType.MIN,0.8,0.006284265233222444
Hospital,AggregateType.MIN,0.8,0.0014928574834422224
Hospital,AggregateType.MIN,0.8,0.0023747738907509987
Hospital,AggregateType.MIN,0.8,0.0035014837025055317
Hospital,AggregateType.MIN,0.8,0.002669967093559343
Hospital,AggregateType.MIN,0.8,0.004414436610235329
Hospital,AggregateType.MIN,0.8,0.015473127160029269
Hospital,AggregateType.MIN,0.8,0.017987005869437262
Hospital,AggregateType.MIN,0.8,0.006885612149354652
Hospital,AggregateType.MIN,0.8,0.01776499108457854
Hospital,AggregateType.MIN,0.8,0.02283913367576299
Hospital,AggregateType.MIN,0.8,0.009593810195970451
Hospital,AggregateType.MIN,0.8,0.003942762262720731
Hospital,AggregateType.MIN,0.8,0.13008734588901147
Hospital,AggregateType.MIN,0.8,0.3450192866699701
Hospital,AggregateType.MIN,0.8,0.023207375568853023
Hospital,AggregateType.MIN,0.8,0.01483515569601258
Hospital,AggregateType.MIN,0.8,0.006123819972057759
Hospital,AggregateType.MIN,0.8,0.008938368674079426
Hospital,AggregateType.MIN,0.8,0.051351778827735485
Hospital,AggregateType.MIN,0.8,0.012848540067017104
Hospital,AggregateType.MIN,0.8,0.008515271592274786
Hospital,AggregateType.MIN,0.8,0.07183185389020458
Hospital,AggregateType.MIN,0.8,0.014108041167130676
Hospital,AggregateType.MIN,0.8,0.01081999639972152
Hospital,AggregateType.MIN,0.8,0.005103202802217488
Hospital,AggregateType.MIN,0.8,0.01151241682228986
Hospital,AggregateType.MIN,0.8,0.0038376229821511544
Hospital,AggregateType.MIN,0.8,0.02877436833199731
Hospital,AggregateType.MIN,0.8,0.029361266159812317
Hospital,AggregateType.MIN,0.8,0.11025120665538204
Hospital,AggregateType.MIN,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.06842224204700542
Hospital,AggregateType.MIN,0.8,0.05325016335321599
Hospital,AggregateType.MIN,0.8,0.07559841679376682
Hospital,AggregateType.MIN,0.8,0.0035186057312217925
Hospital,AggregateType.MIN,0.8,0.006311827069580966
Hospital,AggregateType.MIN,0.8,0.05325016335321599
Hospital,AggregateType.MIN,0.8,0.0022311834031929377
Hospital,AggregateType.MIN,0.8,0.026159769905557524
Hospital,AggregateType.MIN,0.8,0.09564775633860302
Hospital,AggregateType.MIN,0.8,0.026159769905557524
Hospital,AggregateType.MIN,0.8,0.012092819580461104
Hospital,AggregateType.MIN,0.8,0.021801328050393486
Hospital,AggregateType.MIN,0.8,0.02398066292776515
Hospital,AggregateType.MIN,0.8,0.007456419751195895
Hospital,AggregateType.MIN,0.8,0.012848540067017104
Hospital,AggregateType.MIN,0.8,0.1024334401423118
Hospital,AggregateType.MIN,0.8,0.029361266159812317
Hospital,AggregateType.MIN,0.8,0.007907064234350392
Hospital,AggregateType.MIN,0.8,0.015641286039802506
Hospital,AggregateType.MIN,0.8,0.11935465589739873
Hospital,AggregateType.MIN,0.8,0.2353565323384582
Hospital,AggregateType.MIN,0.8,0.019445057883148438
Hospital,AggregateType.MIN,0.8,0.026643982870633316
Hospital,AggregateType.MIN,0.8,0.004765247649364232
Hospital,AggregateType.MIN,0.8,0.030609917080501425
Hospital,AggregateType.MIN,0.8,0.013202129068171961
Hospital,AggregateType.MIN,0.8,0.008883196470489737
Hospital,AggregateType.MIN,0.8,0.2027396126664192
Hospital,AggregateType.MIN,0.8,0.04494207053209103
Hospital,AggregateType.MIN,0.8,0.011069668456095121
Hospital,AggregateType.MIN,0.8,0.004733897805803857
Hospital,AggregateType.MIN,0.8,0.1024334401423118
Hospital,AggregateType.MIN,0.8,0.15855271844915592
Hospital,AggregateType.MIN,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.2353565323384582
Hospital,AggregateType.MIN,0.8,0.017548389606012876
Hospital,AggregateType.MIN,0.8,0.005252198722888731
Hospital,AggregateType.MIN,0.8,0.8935195695959551
Hospital,AggregateType.MIN,0.8,0.051351778827735485
Hospital,AggregateType.MIN,0.8,0.03127492067561043
Hospital,AggregateType.MIN,0.8,0.029972596531343217
Hospital,AggregateType.MIN,0.8,0.6166353450989173
